#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:cpacific" name="distribution">
#            <parameter id="ucldStdev.c:cpacific" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.07" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.08" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:cpacific" name="distribution">
#            <parameter id="ucldMean.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	logP(mrca(NewZealand))	mrca.age(NewZealand)	logP(mrca(EastPolynesian))	mrca.age(EastPolynesian)	ucldMean.c:cpacific	ucldStdev.c:cpacific	rate.c:cpacific.mean	rate.c:cpacific.variance	rate.c:cpacific.coefficientOfVariation
190000	-148.93572399514343	NaN	-148.93572399514343	NaN	1454.18553221783	2.708506829548294	-137.29824881097647	0.0018728450062484988	0.18502700977634046	0.8149729902236599	-4.897075341403852	770.7484989198813	-5.9326470917424174	909.6077024797297	1.6081932408395402E255	0.015444703439991964	1.5656621922192033E255	Infinity	Infinity
200000	-154.49771190573296	NaN	-154.49771190573296	NaN	1226.1801196320762	1.7860755187163602	-140.72105249999603	0.002531299585185965	0.716101197907174	0.2838988020928263	-5.339524268632954	797.8330151292441	-5.54398099749896	980.0639631289484	3.607939303909402E269	0.5393923828928906	3.532423716497313E269	Infinity	Infinity
210000	-164.4818283322568	NaN	-164.4818283322568	NaN	1965.499245025863	1.7860755187163602	-149.70822807132316	9.407090357982829E-4	0.8228784785413508	0.1771215214586495	-5.3270882758157	797.0874647270733	-5.627041883914129	954.627505089236	1.310929552990373E285	0.8195928014863528	1.2740425192204133E285	Infinity	Infinity
220000	-155.5048656437843	NaN	-155.5048656437843	NaN	1765.5132523438451	1.9980295666338443	-144.40331053372677	0.0010961064343539646	0.11024499890652645	0.8897550010934738	-4.580173155644166	745.1467366421765	-5.843546935217393	1079.929746155562	3.995266080440475E302	0.04584828236977118	3.9895032223634555E302	Infinity	Infinity
230000	-153.5469494974016	NaN	-153.5469494974016	NaN	1389.1990871933108	0.8355840813788294	-142.85576528080796	0.0013707544836967138	0.09030150765940406	0.9096984923405963	-6.361890413615917	861.6458319756018	-5.676618629567782	944.7714004568253	Infinity	0.008695490485029619	Infinity	NaN	NaN
240000	-154.8555591928357	NaN	-154.8555591928357	NaN	1683.0158863130698	0.2867788348541376	-145.65579640313504	0.001541875668863218	0.2855487623833068	0.7144512376166935	-4.59106983593499	731.8476233445648	-5.662473789321672	1052.6051461606007	Infinity	0.04426198305499175	Infinity	NaN	NaN
250000	-156.01674610895887	NaN	-156.01674610895887	NaN	2234.716988107534	0.10154970051966847	-146.58578070431386	0.0011713763856410764	0.40343620710254763	0.5965637928974526	-4.87304430821105	769.1859649562389	-5.58013114499321	966.5268986198033	Infinity	0.06352642393359166	Infinity	NaN	NaN
260000	-154.1100157526234	NaN	-154.1100157526234	NaN	1402.853654821443	0.20201368885413687	-141.85281821151872	0.0018122507845899094	0.9219638733466118	0.07803612665338852	-4.7220075893225	758.6705026214574	-6.223361216590558	881.7415967131474	Infinity	0.5401806563505335	Infinity	NaN	NaN
270000	-166.369938839165	NaN	-166.369938839165	NaN	2875.024746424901	0.02502412647889624	-150.8805621671942	0.0012087073536520073	0.3787795885344783	0.6212204114655221	-8.16908074083814	1000.0264975608271	-7.534811419440199	1200.5344209978643	Infinity	0.1997665334228008	Infinity	NaN	NaN
280000	-154.32422757060448	NaN	-154.32422757060448	NaN	1712.2195183467065	0.04490364185880972	-144.6905627096209	0.0017487170973265178	0.20605976507658824	0.7939402349234121	-4.578703362438064	744.9257050864503	-5.54815081514414	1021.9281079673445	Infinity	0.14368657004825225	Infinity	NaN	NaN
290000	-159.35346081427693	NaN	-159.35346081427693	NaN	2006.37742906002	0.3862141619561572	-147.59484677891612	0.0012339891815296188	0.5032205645035318	0.4967794354964684	-4.5792994505816	732.9524971158087	-7.637487240190339	1205.5907838886546	Infinity	0.09657374242385916	Infinity	NaN	NaN
300000	-154.2395832356626	NaN	-154.2395832356626	NaN	1380.542092479254	0.09914289999970265	-141.9921026245931	0.0017030057999420074	0.7421180621507836	0.2578819378492165	-5.493661499806691	715.5194772015958	-5.707555126013901	939.428322324516	Infinity	0.49382384709365695	Infinity	NaN	NaN
310000	-173.36139685320273	NaN	-173.36139685320273	NaN	4209.451010996252	0.09914289999970265	-161.97031735829253	6.510242857127981E-4	0.023920064258242113	0.976079935741758	-5.148676793477458	786.3593244934417	-5.5491165412231895	977.6358223802323	Infinity	0.39727344076585147	Infinity	NaN	NaN
320000	-162.88276831607973	NaN	-162.88276831607973	NaN	2197.9115735648106	0.06214318008014208	-151.7774503925407	0.0010109536544404636	0.31590878339489653	0.6840912166051036	-4.587488728678627	746.1750378361572	-7.344321522558042	1190.7989938844164	Infinity	0.09070279529374994	Infinity	NaN	NaN
330000	-156.56670186433303	NaN	-156.56670186433303	NaN	1797.7471934245327	0.0670884004973671	-147.05431893301943	0.001275950401628488	0.2151324489963402	0.7848675510036598	-4.895875811595689	770.6709670289581	-5.784131464898009	1072.114179702087	Infinity	0.05300161185594543	Infinity	NaN	NaN
340000	-158.22384146587228	NaN	-158.22384146587228	NaN	1432.23995752806	0.3757360911595341	-148.51588752282927	8.81914345121011E-4	0.5527336392745257	0.4472663607254742	-4.659938242878772	753.6625185468811	-6.504874217299572	1140.0546677627567	Infinity	0.017682619244005847	Infinity	NaN	NaN
350000	-154.20655877951737	NaN	-154.20655877951737	NaN	1241.576925806285	1.1285795847673217	-138.18136751679396	0.0019372610307061794	0.6936840092017786	0.30631599079822136	-4.909057523918092	771.5204939253554	-7.559029367042881	798.2615233600632	Infinity	0.9453872510651565	Infinity	NaN	NaN
360000	-159.4354082162455	NaN	-159.4354082162455	NaN	1811.6646648916928	1.1285795847673217	-148.55089595872667	7.417547899119785E-4	0.871470085428506	0.1285299145714939	-5.34570563709468	798.2035952392931	-6.223612074472944	881.7203859255383	Infinity	0.01836463722515464	Infinity	NaN	NaN
370000	-149.29422849357292	NaN	-149.29422849357292	NaN	1368.9035032281793	0.1490292859041096	-138.61122168098265	0.0017478965074824808	0.11042389929189955	0.8895761007081004	-5.960602156821583	835.7429727930325	-6.266936703292721	878.1125122008041	Infinity	0.023180207203804804	Infinity	NaN	NaN
380000	-141.16420652223502	NaN	-141.16420652223502	NaN	879.5129378788338	1.693421726419558	-129.85883138642208	0.002732318050645475	0.06637286469400294	0.9336271353059971	-4.555640299791713	738.693924542104	-6.4050063929493435	867.2673609275714	Infinity	0.04364080584682543	Infinity	NaN	NaN
390000	-164.33129605116892	NaN	-164.33129605116892	NaN	3009.6751911704896	3.1898942476628287	-150.82263602402148	0.0010237582354865218	0.13908929798113887	0.8609107020188611	-5.318146433779595	796.5513716689284	-5.52723325699471	1007.9051094893694	Infinity	0.1456654366046269	Infinity	NaN	NaN
400000	-157.47716312999907	NaN	-157.47716312999907	NaN	1408.9436169432372	4.667155634097342	-144.6354456206311	0.0015489105520312717	0.0421730457350272	0.9578269542649727	-4.587868607891062	732.1230890458336	-5.532342530916996	1012.8326238347673	Infinity	0.0141160088213947	Infinity	NaN	NaN
410000	-149.35167929724764	NaN	-149.35167929724764	NaN	866.3208050863916	2.3813934824319642	-136.0595083199749	0.002571686806963898	0.4447824862492529	0.5552175137507469	-4.578576010407906	733.0301705625235	-8.040242303690961	775.6728467394909	Infinity	0.02254396805784094	Infinity	NaN	NaN
420000	-159.82989049532208	NaN	-159.82989049532208	NaN	1587.3874841915754	0.6586756879600423	-148.15710384144006	0.0012302876229123552	0.21652893012451124	0.7834710698754884	-4.902827004563639	771.1196241125297	-6.00551052882008	1098.1225570016718	Infinity	0.27527060105540124	Infinity	NaN	NaN
430000	-148.87796358276864	NaN	-148.87796358276864	NaN	1343.5610111610424	0.41402626133876064	-141.3389077740915	0.001488703314220057	0.8048827355736533	0.19511726442634636	-4.6878261484295045	755.997822225491	-6.659553744306445	849.3052738073637	Infinity	1.0881828714190146E-4	Infinity	NaN	NaN
440000	-158.5897457149158	NaN	-158.5897457149158	NaN	2166.833266593397	0.5534203751430518	-147.78281538100882	9.184084200980455E-4	0.5665577700480247	0.43344222995197496	-4.561901788257062	741.6973211130377	-5.717959020090459	1062.265608629113	Infinity	0.2451720752871186	Infinity	NaN	NaN
450000	-155.1772315104354	NaN	-155.1772315104354	NaN	1462.3755695732261	2.5765307929942973	-142.87242042624618	0.002543380402583787	0.7890181687138748	0.21098183128612494	-4.555708390582515	738.8597515224228	-5.695606620196554	941.4341565409001	Infinity	0.1462854842738253	Infinity	NaN	NaN
460000	-164.5895737449209	NaN	-164.5895737449209	NaN	2812.3068908824953	0.1438217460684044	-155.34890954335089	5.571050310800655E-4	0.8292553097931606	0.17074469020683908	-4.5699127461458415	743.4541891074426	-5.662360876513144	947.4163224335954	Infinity	0.06235149504602002	Infinity	NaN	NaN
470000	-153.78250576826008	NaN	-153.78250576826008	NaN	1385.170448527971	0.6280409205834654	-143.80009116495893	0.0014749178950353374	0.5066994009025986	0.49330059909740115	-4.555605259034984	738.430002565332	-5.557152112102312	974.292649724428	Infinity	0.10866970140584097	Infinity	NaN	NaN
480000	-161.0760305232104	NaN	-161.0760305232104	NaN	3370.783449358113	0.6223145339911835	-151.15842244425244	9.906704650820763E-4	0.6459074197131712	0.35409258028682855	-4.567164223343672	742.9177136923365	-6.4313449325582095	865.2976456504605	Infinity	0.02275425213615748	Infinity	NaN	NaN
490000	-160.4678325807264	NaN	-160.4678325807264	NaN	1661.520722512883	0.19815486365602658	-148.27614381831148	0.002071392922253365	0.8337697264903594	0.16623027350964037	-4.57677219545767	733.2302968740295	-5.600360283029007	960.9483511650935	Infinity	0.7518838999918709	Infinity	NaN	NaN
500000	-156.72269364907214	NaN	-156.72269364907214	NaN	1734.6350215983327	0.9638169588299255	-145.08872088680917	0.0013133584988661812	0.8134778814540289	0.1865221185459709	-4.646670580753794	728.4931723102894	-5.772129353246405	929.5698027755649	Infinity	0.3099854555800582	Infinity	NaN	NaN
510000	-153.90332990256698	NaN	-153.90332990256698	NaN	1313.244584280028	0.2187555971367117	-144.2388987128259	0.0014967912079172612	0.2238142461016928	0.776185753898307	-4.76004540822309	724.6612284539432	-6.113251347146194	1108.5488487229072	Infinity	0.0379704750341601	Infinity	NaN	NaN
520000	-150.8596917103504	NaN	-150.8596917103504	NaN	1435.5533892165672	0.2022503559003723	-139.91437902304014	0.0017435130193395867	0.49488611765520435	0.5051138823447954	-4.95294843282101	774.3140524172655	-5.678347885835931	944.4591741791379	Infinity	0.2766685188880056	Infinity	NaN	NaN
530000	-156.79733652271054	NaN	-156.79733652271054	NaN	2107.2050078396983	1.626480945144291	-144.51649869292197	0.0012948289109361705	0.7970143679348085	0.2029856320651913	-4.784307196086882	763.1965645421742	-7.514959350037102	800.457992851413	Infinity	0.025435472590268276	Infinity	NaN	NaN
540000	-151.7099089574678	NaN	-151.7099089574678	NaN	1937.9600327196085	0.2205628960357354	-142.94222470780346	0.0012213388151245974	0.5370322263981981	0.46296777360180147	-4.555802639524138	739.0133339484224	-5.5796028366618415	1033.3148968088085	Infinity	0.028299591491819615	Infinity	NaN	NaN
550000	-156.8689654810028	NaN	-156.8689654810028	NaN	2318.868210828213	0.08894802431668178	-147.62115841070747	0.00125646300475708	0.11876474511743879	0.8812352548825608	-4.984914730843867	776.3202188318953	-5.661797078095173	947.5236512507952	Infinity	0.034062887872062485	Infinity	NaN	NaN
560000	-148.57176517567612	NaN	-148.57176517567612	NaN	968.0755803086347	0.18148657244876248	-136.99163514409486	0.0028858833360564003	0.12399760542984956	0.8760023945701501	-5.577913479688009	812.1728802074904	-5.600727959085021	960.8543131642176	Infinity	0.30237943791154015	Infinity	NaN	NaN
570000	-151.21112816006126	NaN	-151.21112816006126	NaN	1310.564402526791	0.034339954697011565	-142.25148543886115	0.0011907783315294523	0.9684122460577387	0.03158775394226099	-4.555875263524886	739.1077190963169	-5.56980419278485	969.7690643240784	Infinity	0.056106100691871184	Infinity	NaN	NaN
580000	-158.24030371443047	NaN	-158.24030371443047	NaN	1898.2368479593508	0.007038901575204562	-146.82454990891563	0.001343392579651139	0.6108063020557495	0.38919369794425007	-4.60165720608099	731.0319387541853	-7.816835651636578	1214.1367288647052	Infinity	0.07585954727831046	Infinity	NaN	NaN
590000	-154.64097089497514	NaN	-154.64097089497514	NaN	1749.7589917801758	0.006410412730742055	-143.99027423332987	0.0015978321392358878	0.9158822261971898	0.08411777380280973	-5.165005480973688	787.3463213924508	-5.528520090650665	990.607054287497	Infinity	0.24010380546953122	Infinity	NaN	NaN
600000	-167.2199264532156	NaN	-167.2199264532156	NaN	3552.072266888898	0.026133502647762846	-158.07495361140403	8.595501379774252E-4	0.43042371036127275	0.5695762896387268	-5.120166729605538	784.6316861854	-5.5637285242031735	971.8504689167262	Infinity	0.029552637815780013	Infinity	NaN	NaN
610000	-159.40469884476974	NaN	-159.40469884476974	NaN	2314.1381665885406	0.016857925449231186	-150.37317667629074	0.0012335958318812116	0.5695833353160149	0.43041666468398454	-4.6737149231864255	754.8372761981974	-5.561251889292051	972.7444794218541	Infinity	0.05428808900506659	Infinity	NaN	NaN
620000	-152.62881177339327	NaN	-152.62881177339327	NaN	1789.8310624152155	0.05262019766201198	-140.97639577157292	0.0030975847150294827	0.6237917624650777	0.37620823753492166	-5.002611647913232	720.1737760046238	-7.248155839444611	814.3095521976509	Infinity	0.1250309476096593	Infinity	NaN	NaN
630000	-148.25938611380076	NaN	-148.25938611380076	NaN	1137.7697856152288	0.6505367285316671	-141.0116144244678	0.0011262535739990135	0.4418256022824645	0.5581743977175349	-4.562148132370061	741.7629428075479	-5.550420980917294	977.0599643746876	Infinity	5.042573457538122E-4	Infinity	NaN	NaN
640000	-142.9079722279166	NaN	-142.9079722279166	NaN	1141.050664162431	0.41797702628208694	-134.96556504605383	0.0025568336707234665	0.6070118363122112	0.392988163687788	-4.696566210768458	756.6981911982155	-6.665475687732679	848.9128087136494	Infinity	2.507693694002013E-4	Infinity	NaN	NaN
650000	-161.03917999303252	NaN	-161.03917999303252	NaN	2370.741774958212	0.8797707072188471	-151.3807306184152	0.0010587088003580145	0.19202432339658698	0.8079756766034122	-4.856485971332313	722.5268823987885	-5.753919539836182	932.2045988811309	Infinity	0.017712925621833655	Infinity	NaN	NaN
660000	-166.6198048135037	NaN	-166.6198048135037	NaN	3539.103933384119	0.5383060717815735	-157.44386427942212	0.0011390719483262575	0.0673867098222054	0.9326132901777938	-4.804430334942797	764.5921255421458	-5.819570390037587	923.1284615940565	Infinity	0.013003257442078206	Infinity	NaN	NaN
670000	-153.9825160734	NaN	-153.9825160734	NaN	1583.8854876631942	2.251810017622663	-140.7564345382488	0.0018393975479551498	0.0402799114319154	0.9597200885680838	-5.8680192539424345	713.4281858600508	-5.696199845508245	1058.6670480449598	Infinity	0.13493389062476183	Infinity	NaN	NaN
