#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:cpacific" name="distribution">
#            <parameter id="ucldStdev.c:cpacific" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.07" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.08" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:cpacific" name="distribution">
#            <parameter id="ucldMean.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	logP(mrca(NewZealand))	mrca.age(NewZealand)	logP(mrca(EastPolynesian))	mrca.age(EastPolynesian)	ucldMean.c:cpacific	ucldStdev.c:cpacific	rate.c:cpacific.mean	rate.c:cpacific.variance	rate.c:cpacific.coefficientOfVariation
0	-5675.781095731799	NaN	-5675.781095731799	NaN	1411.3752163128902	1.0	-5649.977830684563	1.0	0.5	0.5	-11.667289889680685	1408.1	-13.955339302676071	1410.639271952484	1.0	0.1	1.0145538733050496	0.00812706782716446	0.0899817459053779
10000	-157.15220088983494	NaN	-157.15220088983494	NaN	1650.754604529919	2.4661164653813303	-145.04778227910896	0.0014205610801647716	0.5131148254441212	0.4868851745558788	-6.00934742228012	838.8169201031221	-5.586818755354391	1035.4146964300492	10304.82345508187	0.01377324824731144	10054.229316006014	750531.0526891405	0.0851988561687121
20000	-156.4970931652868	NaN	-156.4970931652868	NaN	1556.7803797175602	1.7748398655580084	-144.66237505518026	0.0010728592799083734	0.5038775483579441	0.4961224516420559	-4.617371468430961	730.0138960202115	-5.586189142355162	1035.2364649652595	6.459286369086956E10	0.21967272517511416	6.4799681360827415E10	2.2643692440941072E19	0.07248205643386779
30000	-154.21532537695356	NaN	-154.21532537695356	NaN	1815.1322262499102	0.6762390870425644	-145.1187251386168	0.00145932476129796	0.5072456481925847	0.4927543518074153	-5.005173624039983	777.5814346134074	-5.620843876009874	956.0147395558216	1.2723025535443302E16	0.008295169469701668	1.256750119256573E16	8.535139469260235E29	0.07375174976228518
40000	-156.04579615868948	NaN	-156.04579615868948	NaN	1222.2303193858054	0.48374322862182506	-144.2106946986515	0.001506578017992625	0.5295591203126455	0.47044087968735443	-5.717892112625939	820.6915593163828	-5.549276086594854	1022.4354038974517	2.2260703889647513E26	0.2702587071350822	2.2175691051394672E26	2.875779143996941E50	0.07572423174593275
50000	-163.35940924611597	NaN	-163.35940924611597	NaN	2726.8740943149296	0.8752676719378173	-152.10438955296124	7.943785416492455E-4	0.5642587765205654	0.4357412234794345	-4.601260936331717	747.8841596316671	-6.8507651775830105	837.1100703916754	2.8689463266606865E41	0.06890327212307439	2.8011755160200097E41	4.752436928784524E81	0.2545745751702129
60000	-162.18869548883947	NaN	-162.18869548883947	NaN	3016.8388982695415	0.13136606346784352	-152.15862862412953	8.660130925919699E-4	0.5230403691496426	0.47695963085035736	-4.67160770838157	727.4406939075598	-5.536800215644903	984.0679590433999	1.228831491955398E57	0.18575541925031702	1.2830191116306929E57	1.0271671737562736E112	0.08067210358223904
70000	-168.66683079584732	NaN	-168.66683079584732	NaN	3826.4035429245805	0.41929099606303466	-156.28271806896734	7.495359932446174E-4	0.4880783002608603	0.5119216997391396	-5.742780763157845	822.2172845746142	-6.0103674931775135	1098.6163043299382	8.183717975158338E73	0.30037069909738356	8.056207896544331E73	3.641984201243589E145	0.07369290629449127
80000	-152.15255387499437	NaN	-152.15255387499437	NaN	1122.29092856609	0.1564538700884662	-141.72583275501566	0.0029664854325654995	0.2168401984797124	0.7831598015202875	-4.9165691962876945	772.002260877898	-5.794133419764107	926.5119464713696	9.042784392669643E91	0.16098957424226493	8.626512669717141E91	1.9661837883844835E182	0.16019730360637338
90000	-154.21222507660022	NaN	-154.21222507660022	NaN	1522.2032798103137	2.183054527199143	-141.34923767638557	0.0025065779611895154	0.7080499859735689	0.2919500140264309	-4.55561290507046	738.5725442020606	-5.727308041820494	1063.7494035466575	7.469543212925395E103	0.3461895102670699	7.221730120563056E103	1.3410821416488866E206	0.1588645168756454
100000	-162.0015562786067	NaN	-162.0015562786067	NaN	2778.2080935013464	2.0278438388736593	-150.72681430426377	0.0011657830537464117	0.7438931265597457	0.2561068734402542	-4.590469833643795	746.566251833635	-5.760363577418002	931.2606578115214	8.792576915198665E107	0.06555921851706129	8.517978205694725E107	1.8525257476134275E214	0.15994702640190664
110000	-155.07208079375357	NaN	-155.07208079375357	NaN	1404.966645057291	3.1913971210649152	-139.16768593270237	0.0013932843993283643	0.36655927645091835	0.6334407235490815	-7.426020103211146	938.3022991092527	-5.754817530555656	1067.9277279706737	7.152985284456914E122	0.15602794762270594	7.123777638086069E122	2.308305666338976E243	0.06741976010716545
120000	-154.40854428460696	NaN	-154.40854428460696	NaN	1530.1622017648183	3.1913971210649152	-140.29354242737395	0.0016578564738868532	0.8485790599022631	0.15142094009773685	-5.147493465964675	786.2877320918499	-6.017440879451892	1099.330978074227	6.61068190548758E132	0.19940310312525708	6.607938700639952E132	1.0403168858633022E264	0.15570063380682816
130000	-164.24485396466318	NaN	-164.24485396466318	NaN	2384.9614910130867	1.077214688780806	-155.53368938043565	0.0011727497778354125	0.7041619992739845	0.2958380007260157	-4.587354504440247	746.15708885264	-5.5548913107853535	1024.8123322533734	1.7757189797748633E151	0.004395202389708624	1.760517932075017E151	1.5922709964838124E300	0.07111436819982904
140000	-163.69982757517872	NaN	-163.69982757517872	NaN	1779.6529343706525	4.996350261660146	-146.3254094214078	0.0012971290434791154	0.5256223768816597	0.4743776231183406	-4.996079156841758	777.0161567325662	-5.708690314931826	939.2411988697831	2.098084152302134E177	0.707845161394776	1.959803731468146E177	Infinity	Infinity
150000	-155.3042779772966	NaN	-155.3042779772966	NaN	1345.5613122414973	4.498635634231519	-141.0708422079009	0.0011650955109774352	0.12042221733820063	0.8795777826617996	-4.556411594065967	737.3704618621865	-7.876446232195176	783.0973714773188	5.69915236567203E192	0.002934837541138113	5.78667541856031E192	Infinity	Infinity
160000	-162.08993195841288	NaN	-162.08993195841288	NaN	2828.669859060507	0.710189101632848	-150.10778937715585	7.82653126890133E-4	0.9992907712271616	7.092287728388408E-4	-4.726471422091989	759.00771831556	-7.1885463565984224	1182.452056025996	3.150839263010048E211	0.1262896114390354	3.046711259867828E211	Infinity	Infinity
170000	-151.07520847896956	NaN	-151.07520847896956	NaN	947.0751351061056	3.312530258549194	-136.94998309235046	0.0028344779573390272	0.4623857680011398	0.5376142319988606	-5.478011716369016	806.1457943676807	-6.076482463209698	894.8930312475017	3.690994368947991E225	0.11110561253580356	3.0031742054025575E225	Infinity	Infinity
180000	-159.54835558487332	NaN	-159.54835558487332	NaN	1946.1389625731767	2.4049905067575374	-145.81875509321765	0.0011874344148996624	0.9287286747828263	0.07127132521717405	-4.619381858722935	749.856995273154	-5.801094553002934	925.5707270208596	3.721093129457334E246	0.481756780168189	3.781337222565741E246	Infinity	Infinity
