#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:cpacific" name="distribution">
#            <parameter id="clockRate.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	clockRate.c:cpacific	logP(mrca(NewZealand))	mrca.age(NewZealand)	logP(mrca(EastPolynesian))	mrca.age(EastPolynesian)
220000	-153.04600459825653	NaN	-153.04600459825653	NaN	1302.657544201124	1.6457421306229763	-140.56911079614574	0.0018625591790711745	0.831836252872711	0.16816374712728854	Infinity	-5.045261393503919	780.0576664563062	-5.785890277983883	1072.3576614866897
230000	-155.21140205652173	NaN	-155.21140205652173	NaN	1716.2991020119332	2.525362452546815	-141.57662394956446	0.001426317875329998	0.8697873339722422	0.1302126660277575	Infinity	-4.5560732831941735	737.6266155549832	-6.5533423712162895	1143.473597015167
240000	-166.82627382589232	NaN	-166.82627382589232	NaN	3084.919881662689	1.4867118187206554	-155.203465970391	8.137983834736283E-4	0.3704564728428421	0.6295435271571574	Infinity	-4.609746828887902	748.8382860717625	-5.526349207892777	993.3059896922493
250000	-159.53578401996805	NaN	-159.53578401996805	NaN	1996.7624405715064	0.39531210358647145	-148.0619080346089	0.00108084315023168	0.18498453264287906	0.8150154673571205	Infinity	-4.56002541195317	741.1525776524322	-6.5185384698194895	1141.0269300968241
260000	-153.37606927367747	NaN	-153.37606927367747	NaN	1743.6773658582524	0.48934539796740756	-141.779401947849	0.0013344851009519814	0.06696234594349021	0.9330376540565094	Infinity	-5.181592690331963	788.3473645819791	-5.925729237529095	910.3762845741898
270000	-153.46074982724437	NaN	-153.46074982724437	NaN	1732.2673688237414	1.017660800128064	-142.31679357217544	0.0011643482159836068	0.371986579495883	0.6280134205041166	Infinity	-4.573257707365292	733.6508356350557	-5.5530377475755985	1024.0537017454005
280000	-157.66000980145776	NaN	-157.66000980145776	NaN	1648.2257273943198	0.8802896828972374	-146.51235413058973	8.907683983203017E-4	0.7686117149346469	0.23138828506535258	Infinity	-4.716038010826326	725.9035534833831	-5.551327977144458	976.6679371029074
290000	-178.27986612763468	NaN	-178.27986612763468	NaN	7894.25248615535	0.32918810912809837	-167.7523698704523	5.55011693029262E-4	0.3205731495615061	0.6794268504384935	Infinity	-4.6722291710806125	727.4165436652818	-5.526078976973677	1006.2773525962997
300000	-169.97512736267242	NaN	-169.97512736267242	NaN	5022.074720353755	0.17842260746628644	-157.2592901543257	7.182661957832192E-4	0.2953919514033106	0.704608048596689	Infinity	-5.023924018922439	778.7426181007822	-7.513490581958027	1199.4683866062621
310000	-166.8404589846809	NaN	-166.8404589846809	NaN	2811.7514205589514	0.5136973742141887	-155.20391254306136	9.030565374068831E-4	0.42752588593291996	0.5724741140670795	Infinity	-5.589980304828167	812.9034840354014	-5.53286876257718	986.7636535370099
320000	-155.5465179639611	NaN	-155.5465179639611	NaN	1550.2998161984265	0.19527058776336478	-144.8967493864062	0.001492341707782111	0.6489428568100124	0.35105714318998704	Infinity	-4.924840199982297	772.5308766664542	-5.529657789809223	989.4652284158998
330000	-156.82018932684713	NaN	-156.82018932684713	NaN	1606.0700643738178	1.2924654575333536	-144.4337766624713	0.0015639518760134424	0.045465228628674886	0.9545347713713247	Infinity	-4.95919682584434	774.7078910415607	-6.134750380998135	889.4883117670017
340000	-170.99790459813858	NaN	-170.99790459813858	NaN	3405.9961064755016	0.49344817164516747	-158.11480260206903	6.040482092600694E-4	0.9472277994472895	0.05277220055271015	Infinity	-6.332227107877121	859.6817556286579	-6.0574267165472815	1103.278070988426
350000	-154.61073156460424	NaN	-154.61073156460424	NaN	1484.738193974158	0.07120719995118632	-144.3829062475944	0.002062143993148089	0.44719126948900445	0.5528087305109954	Infinity	-4.632163483677829	751.1272640022821	-5.524454633380824	997.3697369406857
360000	-150.23261324068955	NaN	-150.23261324068955	NaN	1150.0849169749074	1.8368615314490038	-137.42453235326894	0.001973610018580778	0.8771000571505193	0.12289994284948086	Infinity	-5.046884248619258	780.1574312125531	-5.9243351073523325	910.5319735146048
370000	-159.23175122789604	NaN	-159.23175122789604	NaN	2483.422806555553	0.3292791737672914	-146.55353434039338	0.0012212040941604256	0.4299931541617146	0.5700068458382858	Infinity	-4.866049749525727	768.7272545223584	-7.482887964209623	1197.9282316910278
380000	-168.84163950454223	NaN	-168.84163950454223	NaN	3245.2040494734815	2.145315299538688	-154.94194228270015	9.326861235044631E-4	0.05453944725579271	0.9454605527442078	Infinity	-4.941548094739196	773.5931690757266	-6.812833827564201	1160.5443931360692
390000	-155.59706475630475	NaN	-155.59706475630475	NaN	1854.109362947022	0.9308050503211055	-142.83189053218598	0.001319789705089876	0.3455838303779975	0.6544161696220031	Infinity	-4.796893161090487	764.0724767456924	-7.037476012707166	826.0248699661701
400000	-148.66317349227245	NaN	-148.66317349227245	NaN	1411.0948873702919	3.038052404207476	-135.49819355248326	0.00197910731603873	0.2327345851793769	0.7672654148206239	Infinity	-4.592502172958529	746.8254097635737	-5.534425362623224	1014.3642914412505
410000	-158.56308485847177	NaN	-158.56308485847177	NaN	1264.946450279976	1.5090145481046302	-145.6632289726884	0.0017796241229276564	0.8870092684054186	0.11299073159458223	Infinity	-5.670323146602721	817.7853313151818	-5.720518191076029	1062.675269745453
420000	-155.1264348332909	NaN	-155.1264348332909	NaN	1481.1675901274814	0.42135954942004405	-144.50010243216747	0.001159978255123292	0.8013281636085123	0.1986718363914884	Infinity	-4.627271200793215	750.6505413889926	-5.577701650910173	1032.739252195922
430000	-162.8293634062846	NaN	-162.8293634062846	NaN	2771.377033679346	1.1304409156957433	-149.3021162256575	9.357679331956389E-4	0.8111399878348203	0.18886001216518056	Infinity	-6.622412894548967	879.2675128349148	-5.774393370382385	929.2490775763847
440000	-157.91189399183486	NaN	-157.91189399183486	NaN	2077.4904437460004	0.6216635182759552	-146.9348840420411	0.0012905047637937917	0.38751037491734563	0.6124896250826551	Infinity	-4.749148928618862	760.6867897258626	-5.60619750289895	1040.5188311051013
450000	-159.4793463772615	NaN	-159.4793463772615	NaN	2275.4415572818234	0.37037043598047936	-148.33700333932254	0.0011765947210646522	0.6731636039670329	0.3268363960329679	Infinity	-4.926135905097187	772.6135179248436	-5.845836696861271	919.7842935992574
460000	-147.89613201687735	NaN	-147.89613201687735	NaN	1096.1141289042205	0.37036084117803614	-137.0412149150719	0.0026944073112342495	0.877999998807799	0.12200000119220168	Infinity	-4.84846549420846	767.5654014071176	-5.636090766418957	1047.3248448969869
470000	-175.71801369056385	NaN	-175.71801369056385	NaN	3283.3154659074507	4.5222561702789195	-157.7356021136484	6.91985301911547E-4	0.2402632675165326	0.7597367324834682	Infinity	-7.145855830835782	916.8668867908806	-6.31429957580074	1125.7132337192847
480000	-153.50203078066326	NaN	-153.50203078066326	NaN	1050.8203529398227	2.195130126204455	-139.94722957470177	0.0028029507094092464	0.610183510103242	0.3898164898967589	Infinity	-5.232383591053047	791.4047580301838	-6.127287488704017	890.1656911970351
490000	-156.22926920426818	NaN	-156.22926920426818	NaN	1864.0408830923254	0.8222237991121717	-143.37133284417524	0.0016897222611088117	0.6849081196096536	0.31509188039034725	Infinity	-6.14942419174072	847.757307854863	-5.886288369240037	1085.1093003199148
500000	-154.43208560967378	NaN	-154.43208560967378	NaN	1676.2600612417555	0.7817164262308504	-142.33288437374617	0.0016324415089724823	0.8104421581518854	0.18955784184811547	Infinity	-5.299650119432646	795.4423146140725	-6.017834690264137	900.6293835108816
510000	-148.63158473882407	NaN	-148.63158473882407	NaN	1236.937544522631	0.29483679174867267	-137.99533596488976	0.0021456774984199736	0.3338691204978644	0.6661308795021363	Infinity	-4.585387692755801	732.3481100579195	-5.7560242894298295	931.8948503801562
520000	-155.72047535717792	NaN	-155.72047535717792	NaN	1427.9266636067105	1.080161802044356	-144.442606435958	0.0014491793515749474	0.7382490288725901	0.2617509711274106	Infinity	-4.667970295077498	754.3529054251708	-5.5297368240980385	989.3904713532839
530000	-146.4045663503825	NaN	-146.4045663503825	NaN	996.7314475695424	1.2487293110738402	-134.4436839971336	0.0025871657762591743	0.441656984300399	0.5583430156996018	Infinity	-4.832335002084476	766.487665479379	-5.879818040090582	915.6543633733413
540000	-152.215189416494	NaN	-152.215189416494	NaN	1273.0363861141489	0.8685168332691686	-141.05543037964281	0.001354551419700993	0.5060628017970944	0.4939371982029064	Infinity	-4.721724772292611	758.6490563118906	-5.569517431289413	1030.1359294187685
550000	-165.99436071462637	NaN	-165.99436071462637	NaN	4067.5593687913633	0.5880374811414909	-155.30918992789657	7.873872067699009E-4	0.28390785350393277	0.7160921464960679	Infinity	-4.5561657847850725	739.3963904754507	-5.540967520803243	1018.3623536674793
560000	-154.31678324926008	NaN	-154.31678324926008	NaN	1045.6997903244394	0.8979421095557042	-142.30631991398505	0.0021841416143797516	0.6463481614280793	0.35365183857192145	Infinity	-5.260595792643114	793.0992634943838	-5.851925433076218	919.028805877219
570000	-171.07021963786258	NaN	-171.07021963786258	NaN	3599.728742308794	0.1032570879556565	-159.62581273118968	8.999456305707506E-4	0.7646998362125645	0.23530016378743612	Infinity	-4.9409733494940316	773.556743765954	-6.400176469223199	867.6317447398784
580000	-154.35914828081573	NaN	-154.35914828081573	NaN	1839.3095382513247	0.6947521643808257	-143.04471176368548	0.0017662481331264762	0.0990959624912286	0.9009040375087721	Infinity	-4.7751520101310465	762.5524801578042	-5.8445323426183755	1080.0529354147131
590000	-160.99830984838266	NaN	-160.99830984838266	NaN	3280.286952791603	0.7201579097833429	-149.6557964499732	0.001016538932310206	0.2759707307998003	0.7240292692002003	Infinity	-4.732132374358895	759.4320208955954	-5.890223114267224	1085.570368127578
600000	-152.27993140036028	NaN	-152.27993140036028	NaN	1362.8418024227435	1.141444827566679	-140.30833364478627	0.0022305242491935337	0.8626765491311168	0.13732345086888376	Infinity	-5.182679680177803	788.4129140643573	-5.647473247829521	950.3281712362517
610000	-154.82761616930745	NaN	-154.82761616930745	NaN	1326.3428286622832	0.8075772281392335	-143.19386814579792	0.001638025062710199	0.24674056890533475	0.7532594310946659	Infinity	-5.229810605969833	791.2501070117393	-5.596360189400451	1038.013542378391
620000	-146.8485730056172	NaN	-146.8485730056172	NaN	1144.9282548954009	0.3475398823168192	-136.29107805249055	0.001786973913996594	0.282505312200235	0.7174946877997657	Infinity	-4.596221767933324	747.2857129825691	-5.613733302876514	1042.337827928166
630000	-152.25376824297805	NaN	-152.25376824297805	NaN	1340.1798264710474	0.5689335022205739	-139.14667818357583	0.0016296976239162997	0.6502904090381211	0.3497095909618796	Infinity	-7.014046234802785	907.1070847912524	-5.524110322378876	1000.1790634586713
640000	-149.87469235044853	NaN	-149.87469235044853	NaN	1717.348402828114	0.5845834763169093	-139.15613761130402	0.002252226257862799	0.4769961768358685	0.5230038231641322	Infinity	-4.5744631296679845	744.2526764769417	-5.559508133159625	973.391950854352
650000	-159.3758733180758	NaN	-159.3758733180758	NaN	1833.5818410234463	2.352892726382383	-146.57264261619355	0.0010706779537786961	0.993517297887572	0.006482702112428629	Infinity	-4.897338872392574	770.7655261140296	-5.552999103107302	975.9623695366876
660000	-164.37990452435218	NaN	-164.37990452435218	NaN	2231.0463343850083	0.791590386246385	-150.27332074749958	9.084983613779262E-4	0.5384291991978281	0.46157080080217255	Infinity	-5.2251262506314475	790.968496396501	-8.089867139974796	1226.5285156788007
670000	-159.26750140318782	NaN	-159.26750140318782	NaN	1882.268147504166	0.5488645979993086	-147.7880197833156	0.0010476067575959575	0.2292360651226295	0.7707639348773712	Infinity	-4.941779325583977	773.6078213896493	-5.988837696288933	1096.4083997477574
680000	-159.21903914146384	NaN	-159.21903914146384	NaN	1923.2203836484514	1.943720807947752	-145.87395589464478	0.0010579618616968925	0.9094758969924346	0.09052410300756608	Infinity	-4.908018091356642	721.6049114792588	-6.493344347514664	860.7710067319382
690000	-155.15761717617877	NaN	-155.15761717617877	NaN	1432.7266389393226	0.9150231779448803	-143.68277202524246	0.0018116759352189617	0.312703560867369	0.6872964391326317	Infinity	-4.9916213647508325	776.7385503260577	-5.568200608240614	1029.6957535845952
700000	-172.09752649848465	NaN	-172.09752649848465	NaN	6339.2548261471275	0.670194655067281	-159.99898464851017	7.131121536834025E-4	0.865359556890589	0.1346404431094117	Infinity	-4.5557428598813505	738.9217646758376	-6.872604335025831	1164.225187826537
710000	-158.2655113159615	NaN	-158.2655113159615	NaN	1656.9972405128901	1.8810367081959245	-146.14719877382257	8.318532111147531E-4	0.6741725368599724	0.3258274631400284	Infinity	-4.559676743566713	736.0601417914452	-5.677599090376302	1055.4058428658093
720000	-160.94013984435372	NaN	-160.94013984435372	NaN	1805.989905864105	1.4828011963970138	-149.06214820436685	0.0021026605887714675	0.6264801178928043	0.37351988210719644	Infinity	-4.822324830608471	765.8125044401462	-5.572865612981398	1031.2271976932398
730000	-153.35610852981802	NaN	-153.35610852981802	NaN	1207.3272871059894	0.9987084223773234	-140.30335660918098	0.0017815722299369063	0.6964483341946915	0.3035516658053092	Infinity	-5.889421900416451	831.2866013163675	-6.164621597843242	1113.1824084078862
740000	-162.8809548633308	NaN	-162.8809548633308	NaN	2336.1176933225656	1.0720187880037042	-151.2640996624963	0.0011699138068143144	0.7509892590033089	0.24901074099669163	Infinity	-4.566935975801584	742.8707723633522	-5.9779004370292075	1095.2671735527451
750000	-161.94573648372773	NaN	-161.94573648372773	NaN	3716.173402742531	0.4434886842294727	-149.6816458369086	9.84067176171477E-4	0.5183225827117269	0.4816774172882737	Infinity	-4.5768415845818735	744.6371705140808	-7.243760378007811	814.5464123390951
760000	-154.23825582161217	NaN	-154.23825582161217	NaN	1486.5869714941734	1.0118377515899308	-141.80338462615347	0.0014198798592081473	0.8046322984107765	0.1953677015892241	Infinity	-5.8846120572831335	713.3514940874574	-5.538421386585646	1016.9190232536528
770000	-153.75640414483226	NaN	-153.75640414483226	NaN	1265.8003050540053	1.3500132155791744	-142.0968070544143	0.0015795912401129755	0.2979994196261563	0.7020005803738444	Infinity	-4.784123393104593	763.1836930584169	-5.525460481734188	994.8004566711602
780000	-170.47391268876802	NaN	-170.47391268876802	NaN	2487.4977723743727	5.544296356762151	-154.84159839480694	0.0014331295507840408	0.4537941164844174	0.5462058835155833	Infinity	-4.556270791474985	739.4814485115412	-5.531747145723968	987.6400432596195
790000	-152.98773679026309	NaN	-152.98773679026309	NaN	1012.1576194917533	5.500041756581121	-135.37319800147733	0.0026770502258618998	0.9598070099804532	0.04019299001954746	Infinity	-5.086674736765675	782.5936689692438	-7.027822295438961	826.580648355139
800000	-155.5052664333515	NaN	-155.5052664333515	NaN	2130.5131313199317	1.0774456961069279	-143.9483087409506	0.0015087962725495569	0.8863707226944031	0.11362927730559763	Infinity	-4.611994414001968	749.0814553388592	-5.867517582291973	1082.8744668880843
810000	-157.57632167583787	NaN	-157.57632167583787	NaN	1665.6161306189288	0.6234531945404038	-144.18997761257813	0.001177356410950669	0.1993654983014731	0.8006345016985277	Infinity	-6.466772310611953	868.6584224159179	-6.296118558107352	1124.2585883482175
820000	-156.44839565242097	NaN	-156.44839565242097	NaN	1333.7914578062034	0.4400477369991717	-145.18401388099366	9.973050934861246E-4	0.7244538016662605	0.2755461983337403	Infinity	-4.559860430907811	736.008554294401	-6.264473603520353	1121.6852402165184
830000	-157.20016242909716	NaN	-157.20016242909716	NaN	1681.5382817871011	0.14874366314452717	-146.90154452711676	0.0017035223255087025	0.01699494032179849	0.9830050596782023	Infinity	-4.584989706365019	732.3852400831677	-5.56488453247086	971.442754587287
840000	-156.1111316716174	NaN	-156.1111316716174	NaN	1596.007504893949	0.10074437394016986	-145.23679325188544	0.0017595238879274673	0.32257503710427093	0.6774249628957298	Infinity	-4.626096371719447	750.5343971103996	-6.147497674072328	888.3407903592754
850000	-152.6278852375389	NaN	-152.6278852375389	NaN	1524.0905108138281	1.081326499130411	-141.40570548723252	0.0012998187010141748	0.7408116106857807	0.2591883893142201	Infinity	-4.580719228749486	745.2274609146984	-5.560134022426489	1026.8422440320196
860000	-159.42421265871366	NaN	-159.42421265871366	NaN	1823.5135725642685	1.3959299277729114	-147.30823878792916	0.0012843958949418331	0.5386081303454293	0.46139186965457163	Infinity	-5.014656189301346	778.1693678783273	-5.705387753710256	1060.2127950717274
