#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:cpacific" name="distribution">
#            <parameter id="clockRate.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	clockRate.c:cpacific	logP(mrca(NewZealand))	mrca.age(NewZealand)	logP(mrca(EastPolynesian))	mrca.age(EastPolynesian)
0	-5670.086252505072	NaN	-5670.086252505072	NaN	1410.7264065642032	1.0	-5643.551106471032	1.0	0.5	0.5	1.0	-11.667289889680685	1408.1	-13.867856144359672	1408.5033029283095
10000	-156.00478210346245	NaN	-156.00478210346245	NaN	1541.5940400580846	0.9898220879470736	-143.9545874312256	0.0013167496171247151	0.48772517962016565	0.5122748203798344	9.690205618167512	-5.506440368224775	807.8573681323813	-5.553932216064987	975.5772659711396
20000	-163.20521144375712	NaN	-163.20521144375712	NaN	1894.5925447278141	1.0090880574291272	-148.96214466144784	0.0010086775125794805	0.46850136116175145	0.5314986388382485	343.4784104068026	-5.416801174235943	802.4677863064028	-7.817177550644198	1214.1526946574072
30000	-158.21576177617288	NaN	-158.21576177617288	NaN	1797.5071925805853	0.6795824217232658	-146.84363042789352	0.0012266201971844605	0.4617497957222249	0.5382502042777751	2.9810437653359833E10	-4.576067128901829	744.5140571781101	-6.116481797654265	1108.846045262242
40000	-159.08696978171963	NaN	-159.08696978171963	NaN	1868.01226804596	0.2890186117092456	-147.4413713666958	0.001949756098423356	0.5521219295611298	0.44787807043887023	5.437105537095364E39	-5.708291287695951	820.1039750874237	-5.648288515618638	950.1643106948696
50000	-152.33643400087968	NaN	-152.33643400087968	NaN	1395.1311386293337	0.46709752514562813	-141.15227507184608	0.0019180323556473836	0.7559466710019062	0.24405332899809395	6.530080622631435E61	-4.814320187898513	723.3820661988002	-5.902741215989453	1087.020974115059
60000	-148.98217273514797	NaN	-148.98217273514797	NaN	1006.2664112956987	0.27934991421001304	-138.3047266961678	0.0014340626267658064	0.913662718350138	0.08633728164986215	5.361341549778072E93	-4.870716121232064	769.033487221257	-5.527380003538123	991.9113853530304
70000	-155.71464062614976	NaN	-155.71464062614976	NaN	2230.9904591138597	0.04226388449157115	-143.92788487754376	0.001523996543999767	0.9810795657543978	0.01892043424560234	2.226212060828271E127	-5.269597062444357	793.6395134425949	-6.474894801670074	862.1024958545435
80000	-148.2012368884335	NaN	-148.2012368884335	NaN	1215.9585104916557	0.2495320981929817	-137.00966031862833	0.002111807273261627	0.9350120907177165	0.06498790928228354	4.9684303815383576E160	-5.260386805170835	717.3298926774771	-5.68165766644133	1056.1335812590942
90000	-163.66480097840682	NaN	-163.66480097840682	NaN	2402.872431871276	0.337886813906188	-153.19258655214722	8.731856291646669E-4	0.9983790835127351	0.0016209164872649853	9.10290977492495E192	-4.60434453740052	730.8438210617799	-5.529983074952895	1010.8391473466605
100000	-157.6474406589195	NaN	-157.6474406589195	NaN	1819.0098836539214	0.4160928412805353	-146.05106163561734	0.0017300501967535277	0.586646868672918	0.41335313132708196	2.310575284047817E217	-5.286608690259677	794.6601480044474	-5.893677491761934	1085.9731088851822
110000	-155.00217036339043	NaN	-155.00217036339043	NaN	1968.3937030385812	0.03566462378277994	-143.21740914127636	0.002021526922659199	0.5672229644296892	0.4327770355703108	3.409088703016722E257	-6.203981956248411	851.2846417204971	-5.5451146420828685	979.5032085973903
120000	-154.33201595494037	NaN	-154.33201595494037	NaN	1261.1840309480729	1.7696476864857862	-137.82954579504707	0.002718901241893513	0.5162338631499941	0.4837661368500057	1.0853125035460508E295	-8.120027741445345	995.7220913614035	-6.612794731962179	1147.5592093208293
130000	-149.38890446402513	NaN	-149.38890446402513	NaN	1280.6064443299097	0.42949746881575035	-137.24780221785446	0.002693193907827075	0.48060238841534175	0.5193976115846581	Infinity	-4.585736622438953	745.9382957708302	-7.125868154915961	1178.9837666227413
140000	-165.03448054762404	NaN	-165.03448054762404	NaN	2586.482515176094	1.0239826598181103	-150.1129224546803	0.0012768606775552644	0.8287018898159285	0.1712981101840713	Infinity	-4.730830668856263	759.3347767191237	-9.166744764269382	1269.9124319136345
150000	-157.286288325672	NaN	-157.286288325672	NaN	1524.3501280697042	0.3598694532774656	-144.7510967775904	0.0012248250161598464	0.7108458665029364	0.2891541334970634	Infinity	-4.601363866299249	747.8961129614972	-7.57395822850488	1202.477134971439
160000	-158.20796083464867	NaN	-158.20796083464867	NaN	1973.261865406142	0.23564145265067324	-146.7539197098459	0.0012049084159013066	0.8133692540112328	0.18663074598876692	Infinity	-5.661612442266827	817.2544862057032	-5.556787229885277	974.4349806600843
170000	-151.02555629544827	NaN	-151.02555629544827	NaN	1509.3693901139372	0.4473650267089474	-140.139353366107	0.0015939829141184173	0.9351057133066398	0.06489428669335989	Infinity	-4.556660305632787	739.7506638232932	-5.882177596999523	1084.624922783629
180000	-170.86258578282238	NaN	-170.86258578282238	NaN	6429.2460048547055	0.2051464316174616	-159.04764502240658	8.741235744912238E-4	0.4373811320362627	0.5626188679637372	Infinity	-5.937872348994778	834.3158389888407	-5.671921979803561	1054.3715478188358
190000	-168.21832043948427	NaN	-168.21832043948427	NaN	3721.527916876022	3.0795914965192788	-154.78833182388402	0.00107240049818497	0.41385056249162006	0.5861494375083797	Infinity	-4.687784776036949	755.9944753485308	-5.662612343044026	947.3685219946728
200000	-154.9080170967231	NaN	-154.9080170967231	NaN	1783.315981172072	0.9581789608678422	-143.71358548701903	0.0012205786106922788	0.683485668803306	0.31651433119669364	Infinity	-4.574474919564351	733.500118619821	-5.66177772927187	1052.472661468446
210000	-164.53778839962806	NaN	-164.53778839962806	NaN	3313.824608787749	1.392366251214548	-152.37494612564058	7.909935919915655E-4	0.00584381680058263	0.994156183199417	Infinity	-5.159800094604386	787.0318561215786	-5.610675928168545	958.3905758329244
